beverages,000066
bread,ffff66
canned,aaaaaa
dairy,eeeeff
dry,3322ff
frozen,ccccff
meat,ff6666
fruitveg,00cc00
cleaners,b2ffb2
papergoods,11ff22
personalcare,33ffaa
baby,ffaaaa
pet,dd00dd
greetingscards,bbbbbb
electronics,270000
alcohol,aadd89
confectionery,ffffb2
freshbakery,b9b919
freshconfectionery,aaaaaa
delicounter,ff9999
contintental,aaasd3
door,ff0000
alcohol,ccccb2
till,00ff00
empty,eeeeee
